Dataset,Model,Full R@20,No-Visual R@20,No-Text R@20,Visual Drop (%),Text Drop (%),Dominant
Beauty,LATTICE,0.01323571679187901,0.012447653466996833,0.01350174548628157,5.95406608704189,-2.009930392026715,Visual
Beauty,MICRO,0.012210105118794362,0.012485430423035942,0.01371079828369961,-2.254897083709674,-12.290583498706424,Neither
Beauty,DiffMM,0.08274005496078941,0.07687678806127743,0.0729820650042376,7.086370564160964,11.793550247429904,Text
Clothing,LATTICE,0.009407104964596253,0.010811520828942432,0.011890299956502043,-14.929310022921122,-26.39701588587905,Neither
Clothing,MICRO,0.009125489351970188,0.009000595150420935,0.010804233800749479,1.3686301822519664,-18.396212893688283,Neither
Clothing,DiffMM,0.06591243246295511,0.0623137184983875,0.05434936802532621,5.459840928477646,17.54307041259282,Text
Electronics,LATTICE,0.014252005734371282,0.011547933290187773,0.010340226208795968,18.973276425662327,27.44722110335216,Text
Electronics,MICRO,0.010082318845958747,0.009729713837517813,0.012398024055272693,3.4972610351662055,-22.967982313335984,Neither
Electronics,DiffMM,0.05509099673168263,0.07154631438536349,0.06650402187229934,-29.869340962962593,-20.716679344545465,Neither
