Dataset,Model,Full R@20,No-Visual R@20,No-Text R@20,Visual Drop (%),Text Drop (%),Dominant
Beauty,LATTICE,0.0725322110149351,0.07064214045936629,0.07104135038536641,2.6058361231806693,2.055446275120033,Visual
Beauty,MICRO,0.07330042683072227,0.06704421711932979,0.06843658344659848,8.535024940360008,6.635491216655811,Visual
Beauty,DiffMM,0.06852229402304515,0.06453277800298332,0.06331170035476495,5.822216078638709,7.6042312105426415,Text
Clothing,LATTICE,0.046819477176620036,0.03140471176185462,0.030319535676678527,32.92383073099114,35.24161843520326,Text
Clothing,MICRO,0.04614672650386936,0.04621985157699443,0.03379715522572665,-0.15846210265626814,26.76153264545691,Text
Clothing,DiffMM,0.04130981630981631,0.03866268866268866,0.04034456534456534,6.407986971606603,2.336614033845512,Visual
Electronics,LATTICE,0.08551297473792747,0.07976170017757919,0.08017005049141156,6.725616291532688,6.2480860511407,Visual
Electronics,MICRO,0.08641519161367932,0.08288365698573637,0.08063097897691471,4.086705777070703,6.693513638924782,Text
Electronics,DiffMM,0.08186564538171343,0.08253872781282988,0.08023879082480218,-0.8221793500534742,1.9872249822568986,Text
