Dataset,Model,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,precision@20,precision@50,Cold/Warm@10,Cold/Warm@20,Cold/Warm@50
Beauty,DiffMM,0.04911344577003412,0.08274005496078941,0.14738476913628779,0.02869534078119373,0.038531617372655154,0.053743673178521974,0.009131075110456556,0.007673048600883655,0.005645557191948947,1.1865145315155947,1.2074910237675727,1.2061473054038356
Beauty,LATTICE,0.0061419333952470925,0.01323571679187901,0.03368200127611386,0.003304876029456916,0.0054121907719526475,0.010222434919724912,0.0012567501227295043,0.0013156602847324498,0.0013647520864015716,0.12256394603815153,0.182480536670165,0.2934922792859444
Beauty,MICRO,0.005378669222557295,0.012210105118794362,0.03010635317336348,0.0027437309634129868,0.004726831285744433,0.008808961838349026,0.000991654393716249,0.00110947471772214,0.0011114383897889053,0.11141775805699444,0.16657618034055927,0.25055178851587534
Clothing,DiffMM,0.038999976543530546,0.06591243246295511,0.12112615753730734,0.024024310493054306,0.03200582995882889,0.04493697735790833,0.007590168565778323,0.006356530746774651,0.004719841793012529,1.6758813449851966,1.595563436269567,1.4793353126169688
Clothing,LATTICE,0.005039484481993194,0.009407104964596253,0.024151494360553593,0.0028090995025652865,0.00415903098697806,0.007678485550317977,0.0009699595065448725,0.0009699595065448723,0.0010000941708258782,0.15127555921588018,0.20092289644989506,0.34108601888360524
Clothing,MICRO,0.004213359701164579,0.009125489351970188,0.022524204144413206,0.0021746960064387296,0.003619054540356849,0.006695138538482965,0.0008098691025520292,0.0008663715980789151,0.0008475374329032862,0.13450153603146728,0.1977494406066923,0.28608972351277046
Electronics,DiffMM,0.033306735050694515,0.05509099673168263,0.10373558307112474,0.019200412977247783,0.025762769871995623,0.037374195414134455,0.006654325798908807,0.0055631332813717875,0.004269290724863603,0.6413870363332367,0.6729440227925995,0.747344608546706
Electronics,LATTICE,0.007195479457755373,0.014252005734371282,0.030717676387006086,0.004169515788481068,0.006272481966955245,0.01020765046426117,0.0015783320342946212,0.001505261106780982,0.0013094310210444275,0.12425708269268526,0.1666648339395227,0.22318626378705397
Electronics,MICRO,0.0053317033490455175,0.010082318845958747,0.028787942052751092,0.0028621965579192312,0.004337864014325786,0.008787222849199413,0.0011593920498830861,0.0011350350740452063,0.0012431800467653936,0.08565759742710069,0.11667299068237835,0.20908888306502527
